# ####################################
# Created by Astm For CSV 
# https://github.com/AstmDesign/
# ####################################

168,بالاو,Palau,t,2018-09-24 08:07:45.442688,2018-09-24 08:22:26.880473
175,بتكايرن,Pitcairn,t,2018-09-24 08:07:45.454472,2018-09-24 08:22:26.885592
170,بنما,Panama,t,2018-09-24 08:07:45.44592,2018-09-24 08:22:26.907952
178,بورتوريكو,Puerto Rico,t,2018-09-24 08:07:45.45956,2018-09-24 08:22:26.916314
176,بولندا,Poland,t,2018-09-24 08:07:45.456052,2018-09-24 08:22:26.925355
215,تانزانيا,"Tanzania, United Republic of",t,2018-09-24 08:07:45.526939,2018-09-24 08:22:26.93623
216,تايلند,Thailand,t,2018-09-24 08:07:45.528694,2018-09-24 08:22:26.938938
213,تايوان,Taiwan,t,2018-09-24 08:07:45.523169,2018-09-24 08:22:26.941632
222,تركيا,Turkey,t,2018-09-24 08:07:45.538271,2018-09-24 08:22:26.94691
220,ترينيداد وتوباغو,Trinidad and Tobago,t,2018-09-24 08:07:45.534953,2018-09-24 08:22:26.949684
217,توجو,Togo,t,2018-09-24 08:07:45.530314,2018-09-24 08:22:26.954949
218,توكيلو,Tokelau,t,2018-09-24 08:07:45.531742,2018-09-24 08:22:26.960401
219,تونجا,Tonga,t,2018-09-24 08:07:45.533281,2018-09-24 08:22:26.963196
221,تونس,Tunisia,t,2018-09-24 08:07:45.536556,2018-09-24 08:22:26.96579
244,زامبيا,Zambia,t,2018-09-24 08:07:45.575153,2018-09-24 08:07:45.575153
240,جزر والس وفوتونا,Wallis and Futuna Islands,t,2018-09-24 08:07:45.568638,2018-09-24 08:07:45.568638
238,جزر فرجين البريطانية,Virgin Islands (British),t,2018-09-24 08:07:45.565668,2018-09-24 08:07:45.565668
237,فيتنام,Vietnam,t,2018-09-24 08:07:45.564116,2018-09-24 08:07:45.564116
236,فنزويلا,Venezuela,t,2018-09-24 08:07:45.562466,2018-09-24 08:07:45.562466
234,فانواتو,Vanuatu,t,2018-09-24 08:07:45.558981,2018-09-24 08:07:45.558981
224,جزر الترك وجايكوس,Turks and Caicos Islands,t,2018-09-24 08:07:45.542185,2018-09-24 08:07:45.542185
214,طاجكستان,Tajikistan,t,2018-09-24 08:07:45.525153,2018-09-24 08:07:45.525153
212,سوريا,Syrian Arab Republic,t,2018-09-24 08:07:45.521385,2018-09-24 08:07:45.521385
211,سويسرا,Switzerland,t,2018-09-24 08:07:45.519616,2018-09-24 08:07:45.519616
209,سوازيلاند,Swaziland,t,2018-09-24 08:07:45.516035,2018-09-24 08:07:45.516035
207,سورينام,Suriname,t,2018-09-24 08:07:45.512367,2018-09-24 08:07:45.512367
205,سانت بيير وميكولون,St. Pierre and Miquelon,t,2018-09-24 08:07:45.508943,2018-09-24 08:07:45.508943
204,سانت هيلنا,St. Helena,t,2018-09-24 08:07:45.507171,2018-09-24 08:07:45.507171
203,سريلانكا,Sri Lanka,t,2018-09-24 08:07:45.505393,2018-09-24 08:07:45.505393
198,جزر سليمان,Solomon Islands,t,2018-09-24 08:07:45.497571,2018-09-24 08:07:45.497571
200,جمهورية جنوب افريقيا,South Africa,t,2018-09-24 08:07:45.500732,2018-09-24 08:07:45.500732
197,سلوفينيا,Slovenia,t,2018-09-24 08:07:45.495913,2018-09-24 08:07:45.495913
195,سنغافورة,Singapore,t,2018-09-24 08:07:45.492549,2018-09-24 08:07:45.492549
194,سيراليون,Sierra Leone,t,2018-09-24 08:07:45.490741,2018-09-24 08:07:45.490741
193,سيشل,Seychelles,t,2018-09-24 08:07:45.489078,2018-09-24 08:07:45.489078
192,صربيا,Serbia,t,2018-09-24 08:07:45.487418,2018-09-24 08:07:45.487418
188,سان مارينو,San Marino,t,2018-09-24 08:07:45.479923,2018-09-24 08:07:45.479923
187,ساموا,Samoa,t,2018-09-24 08:07:45.478122,2018-09-24 08:07:45.478122
185,سانت لوسيا,Saint Lucia,t,2018-09-24 08:07:45.474717,2018-09-24 08:07:45.474717
184,سانت كيتس ونيفيس,Saint Kitts and Nevis,t,2018-09-24 08:07:45.472907,2018-09-24 08:07:45.472907
183,رواندا,Rwanda,t,2018-09-24 08:07:45.471141,2018-09-24 08:07:45.471141
182,روسيا,Russian Federation,t,2018-09-24 08:07:45.469073,2018-09-24 08:07:45.469073
181,رومانيا,Romania,t,2018-09-24 08:07:45.467016,2018-09-24 08:07:45.467016
180,روينيون,Reunion,t,2018-09-24 08:07:45.463098,2018-09-24 08:07:45.463098
179,قطر,Qatar,t,2018-09-24 08:07:45.461358,2018-09-24 08:07:45.461358
166,عمان,Oman,t,2018-09-24 08:07:45.439244,2018-09-24 08:07:45.439244
164,جزر ماريانا الشمالية,Northern Mariana Islands,t,2018-09-24 08:07:45.435937,2018-09-24 08:07:45.435937
162,نيوي,Niue,t,2018-09-24 08:07:45.432526,2018-09-24 08:07:45.432526
161,نيجيريا,Nigeria,t,2018-09-24 08:07:45.430704,2018-09-24 08:07:45.430704
159,نيكاراجوا,Nicaragua,t,2018-09-24 08:07:45.427343,2018-09-24 08:07:45.427343
158,نيوزيلاندا,New Zealand,t,2018-09-24 08:07:45.425491,2018-09-24 08:07:45.425491
156,جزر الأنتيل الهولندية,Netherlands Antilles,t,2018-09-24 08:07:45.421965,2018-09-24 08:07:45.421965
155,هولندا,Netherlands,t,2018-09-24 08:07:45.420318,2018-09-24 08:07:45.420318
154,نيبال,Nepal,t,2018-09-24 08:07:45.418523,2018-09-24 08:07:45.418523
153,نورو,Nauru,t,2018-09-24 08:07:45.416839,2018-09-24 08:07:45.416839
151,ميانمار,Myanmar,t,2018-09-24 08:07:45.413425,2018-09-24 08:07:45.413425
150,موزمبيق,Mozambique,t,2018-09-24 08:07:45.411907,2018-09-24 08:07:45.411907
148,مونتسرات,Montserrat,t,2018-09-24 08:07:45.408464,2018-09-24 08:07:45.408464
145,موناكو,Monaco,t,2018-09-24 08:07:45.403193,2018-09-24 08:07:45.403193
144,مولدافيا,"Moldova, Republic of",t,2018-09-24 08:07:45.40145,2018-09-24 08:07:45.40145
125,ليبيا,Libyan Arab Jamahiriya,t,2018-09-24 08:07:45.368235,2018-09-24 08:07:45.368235
126,ليختنشتاين,Liechtenstein,t,2018-09-24 08:07:45.37101,2018-09-24 08:07:45.37101
127,ليتوانيا,Lithuania,t,2018-09-24 08:07:45.372669,2018-09-24 08:07:45.372669
128,لوكسمبورج,Luxembourg,t,2018-09-24 08:07:45.374441,2018-09-24 08:07:45.374441
129,ماكاو الصينية,Macau,t,2018-09-24 08:07:45.376076,2018-09-24 08:07:45.376076
130,مقدونيا,Macedonia,t,2018-09-24 08:07:45.377735,2018-09-24 08:07:45.377735
132,ملاوي,Malawi,t,2018-09-24 08:07:45.380805,2018-09-24 08:07:45.380805
133,ماليزيا,Malaysia,t,2018-09-24 08:07:45.382391,2018-09-24 08:07:45.382391
134,جزر الملديف,Maldives,t,2018-09-24 08:07:45.384062,2018-09-24 08:07:45.384062
135,مالي,Mali,t,2018-09-24 08:07:45.385609,2018-09-24 08:07:45.385609
136,مالطا,Malta,t,2018-09-24 08:07:45.387198,2018-09-24 08:07:45.387198
138,مارتينيك,Martinique,t,2018-09-24 08:07:45.39054,2018-09-24 08:07:45.39054
139,موريتانيا,Mauritania,t,2018-09-24 08:07:45.392562,2018-09-24 08:07:45.392562
140,موريشيوس,Mauritius,t,2018-09-24 08:07:45.394521,2018-09-24 08:07:45.394521
141,مايوت,Mayotte,t,2018-09-24 08:07:45.396187,2018-09-24 08:07:45.396187
12,آروبا,Aruba,t,2018-09-24 08:07:45.143554,2018-09-24 08:22:26.682525
15,أذربيجان,Azerbaijan,t,2018-09-24 08:07:45.149291,2018-09-24 08:22:26.686924
80,ألمانيا,Germany,t,2018-09-24 08:07:45.272452,2018-09-24 08:22:26.704841
7,أنجويلا,Anguilla,t,2018-09-24 08:07:45.134387,2018-09-24 08:22:26.713072
232,أورجواي,Uruguay,t,2018-09-24 08:07:45.555656,2018-09-24 08:22:26.718886
65,اريتريا,Eritrea,t,2018-09-24 08:07:45.239221,2018-09-24 08:22:26.737984
10,الأرجنتين,Argentina,t,2018-09-24 08:07:45.13993,2018-09-24 08:22:26.746037
228,الامارات العربية المتحدة,United Arab Emirates,t,2018-09-24 08:07:45.549439,2018-09-24 08:22:26.754438
30,البرازيل,Brazil,t,2018-09-24 08:07:45.174634,2018-09-24 08:22:26.762785
3,الجزائر,Algeria,t,2018-09-24 08:07:45.126793,2018-09-24 08:22:26.776275
63,السلفادور,El Salvador,t,2018-09-24 08:07:45.235575,2018-09-24 08:22:26.784461
210,السويد,Sweden,t,2018-09-24 08:07:45.51795,2018-09-24 08:22:26.792369
235,الفاتيكان,Vatican City State,t,2018-09-24 08:07:45.560689,2018-09-24 08:22:26.806507
49,الكونغو - برازافيل,Congo,t,2018-09-24 08:07:45.207885,2018-09-24 08:22:26.817606
31,المحيط الهندي البريطاني,British Indian Ocean Territory,t,2018-09-24 08:07:45.17621,2018-09-24 08:22:26.825843
190,المملكة العربية السعودية,Saudi Arabia,t,2018-09-24 08:07:45.483812,2018-09-24 08:22:26.836622
230,الولايات المتحدة الأمريكية,United States,t,2018-09-24 08:07:45.552571,2018-09-24 08:22:26.852665
84,اليونان,Greece,t,2018-09-24 08:07:45.280862,2018-09-24 08:22:26.861583
167,باكستان,Pakistan,t,2018-09-24 08:07:45.440979,2018-09-24 08:22:26.877715
19,بربادوس,Barbados,t,2018-09-24 08:07:45.156146,2018-09-24 08:22:26.888056
22,بليز,Belize,t,2018-09-24 08:07:45.161326,2018-09-24 08:22:26.902591
34,بوركينا فاسو,Burkina Faso,t,2018-09-24 08:07:45.180891,2018-09-24 08:22:26.91935
75,بولينيزيا الفرنسية,French Polynesia,t,2018-09-24 08:07:45.260809,2018-09-24 08:22:26.930669
